MeSH ID	Class List
D019813	3|2
D015632	3|2
D015057	3
D013741	3
D000406	1
D055372	3
D000008	1
D000011	1
D000064	3
D000099	3
D018266	3|2
D008949	3|2
D018254	1
D018195	1
D000293	3
D041923	3
D000295	3
D017195	3
D000306	3|1|2
D000310	3|1|2
D000314	1
D000328	3
D032721	3
D000365	3
D000366	3
D017677	3
D000367	2|3
D009273	3
D017668	3
D000368	3
D000369	3
D000375	1|3
D019588	1|2|3
D000544	1
D023582	1
D000547	3|2
D000570	1
D000682	1
D017772	1
D028227	1
D053829	1
D016229	1
D016564	1
D058227	1
D000686	1
D028226	1
D000694	1
D047649	3|2
D000783	3|1|2
D000784	3|1|2
D017541	3|1|2
D000785	1
D017542	3|1|2
D018726	3|2
D000903	1
D000912	1
D016588	3|2
D020132	3
D000951	1
D015295	1
D000957	1
D000964	1
D000970	1
D018906	1
D018931	1
D000972	1
D000971	1
D024221	1
D000978	3|1|2
D018501	1
D001005	3|1|2
D001014	1
D017544	1
D017545	1
D001032	3|2
D001037	3|2
D001039	3
D018886	3
D018888	3|2
D001041	3
D053327	3|2
D001053	3
D001054	3
D001055	3
D001056	3
D053399	3
D001057	3
D001058	3|2
D053241	3
D017209	1|2|3
D051033	1|2|3
D051017	1|2|3
D053478	2|3
D053477	2|3|1
D001063	3|1|2
D001072	3|2
D001079	3|2
D051399	3|2
D020346	3
D001101	3|2
D001127	3|2
D001157	3
D001161	3|1|2
D001162	3|1|2
D001168	3|1
D001169	3|1|2
D015210	1
D001170	1
D001171	3|1|2
D015535	1
D016918	1
D001172	3|1
D016088	1
D001205	3
D001241	3
D040561	3
D001254	3|2
D050197	3|1
D001284	3
D001293	1
D001310	3|2
D006051	3|2
D001358	1
D051023	1
D019313	3|2
D024682	3|2
D020532	3|2
D001545	3|2
D001650	1
D001661	1
D001712	3|2
D001723	3
D017824	1
D018488	3|2
D015519	3|2
D050071	3|2
D019046	1
D001859	1
D001861	1
D016723	3|2
D001925	3|2
D001926	1
D020208	3
D001932	3|1|2
D020295	1
D001935	3|2
D047688	3
D001943	3|1|2
D018567	3|1|2
D001948	1
D001973	3|2
D001976	3|2
D001984	1
D010244	3
D018395	3|2
D053446	1
D051743	3|2
D055511	3
D031204	3|1|2
D002173	1
D019496	3|1|2
D041022	3|2
D002205	3|2
D002225	3|2
D002230	3|2
D024402	3
D002272	3|2
D002273	3|2
D002274	3
D002275	3|2
D002276	3|1|2
D002277	3|2
D002279	3|2
D002278	3|2
D018267	3|2
D003528	3|2
D018196	3
D002280	3|2
D002281	3
D002283	3|2
D002284	3
D044584	3|2
D018270	3
D002286	3|1|2
D018236	3|2
D018269	3
D018286	3|2
D006528	3|2
D002285	3
D018273	3|2
D002287	3
D018287	3|2
D018827	3|2
D018275	3|2
D018276	3|2
D015266	3|2
D018277	3|2
D018278	3|2
D002289	3|2
D021441	3|2
D002291	3|2
D018265	3|2
D002292	3|2
D018279	3
D018280	3|2
D018288	3|2
D002294	3
D002295	3|2
D018289	3|2
D002296	3|1|2
D002330	3|2
D056733	2|3
D002331	3
D002333	3
D002332	3
D002334	3
D002340	3|2
D002345	1
D002354	3|2
D053143	2|3
D053148	2|3
D053178	2|3
D053179	2|3
D053181	2|3
D053453	2|3
D020169	2|3
D053470	2|3
D053471	2|3
D030008	3|2
D002401	3|2
D056657	3
D002423	1
D002430	3|1|2
D016922	1|2|3
D016923	1|3
D045744	1
D002470	1|3
D002471	1
D029563	1|2|3
D016543	1
D002528	1
D016657	1
D028243	1
D002551	1
D018290	3
D017024	3|2
D010478	3|1|2
D046688	1
D002699	3|2
D002738	3|2
D002747	3|2
D018281	3|2
D002788	3|2
D002789	3
D002786	3
D002791	3
D008076	3
D008078	3
D015243	3
D019826	3
D002793	3
D002804	3|2
D002813	3|1|2
D018211	3|1|2
D002830	3|1|2
D016545	3|1|2
D055881	2|3
D021081	3
D002909	2|3
D053298	3|2
D002936	3|2
D017338	3|2
D002979	3
D051152	2|3
D003043	3|2
D003110	3|1|2
D015179	3|1|2
D003123	3|1|2
D003138	3|1|2
D003230	3|1|2
D003323	1
D056685	3|2
D003390	3|1|2
D007562	2|3
D003474	3
D003480	3|2
D050763	3|2
D050764	3|2
D050759	3|2
D050761	3|2
D018844	3
D016213	3
D003520	3|2
D003536	3|2
D018282	3|2
D018283	3|2
D018284	3|2
D003537	3|2
D018291	3|2
D018292	3|2
D018293	3|2
D003560	3|2
D003561	3|2
D004249	2|3|1
D053836	2|3
D053938	2|3
D053843	3
D004253	3|2
D019951	3
D004260	3
D045643	3
D049914	3|2
D004263	3|1|2
D004273	1
D003606	3|2
D003630	3|2
D053684	3|2
D003643	1|3
D003644	1
D053418	1|2|3
D003645	1
D016757	1
D046690	3|2
D019965	1
D003704	3
D015161	3
D015140	3
D054740	1
D054739	1
D016321	3|2
D003803	3
D030321	3|2
D018223	1
D003878	3
D058405	1
D048909	1
D003919	1
D018500	1
D020790	1
D003920	3|1
D003921	3|1|2
D003923	3|1|2
D003922	2|3|1
D003924	3|1|2
D016640	1
D003925	3|2
D017719	3|2
D016883	3|2
D003928	3|2
D003929	3|2
D003930	3|2
D041382	3
D036381	3
D004028	3
D020833	3
D055956	3
D004067	3|1|2
D004111	3|2
D018572	1
D056731	2|3
D004296	3|2
D004319	3|2
D015103	3|2
D019008	1
D004354	1
D004379	3|1|2
D017886	3|2
D050687	2|3
D004428	3|1|2
D055088	3|1|2
D051766	2|3
D053331	3|2
D053362	1
D004701	1
D018240	3|1|2
D016889	3|1|2
D036821	3|1|2
D016583	3|2
D036382	3|2
D036383	3
D036384	3
D036385	3
D036386	3
D036387	3
D036388	3
D036389	3
D036342	3
D015174	3|1|2
D017036	3|2
D004877	3|2
D004905	1|2|3
D004938	3|1|2
D018304	3|2
D004961	3|2
D015914	3|2
D004970	3
D005001	3|2
D005020	3|2
D017308	3|2
D016057	3|2
D005134	3|1|2
D005142	3|1|2
D005153	3|1
D017316	3|2
D005185	1
D052240	3|2
D051856	3|2
D053222	2|3
D053200	1|2|3
D054890	3|2
D005242	1
D005266	3|1
D017313	3|2
D005313	1
D046689	1
D051524	3|2
D005350	3|2
D018222	3|2
D005354	3|1|2
D005467	3|2
D005474	3|2
D016330	3|1
D005622	1
D057180	3
D057174	3|2
D020235	3|2
D005702	3|2
D005706	3|1|2
D017988	3|2
D045888	3|2
D018305	3|2
D005729	3|2
D017219	2|3
D005770	3|1|2
D046152	3|1|2
D015973	3|1|2
D015972	3|1|2
D017491	3|2
D019398	3|2
D024522	3|2
D016163	3|2
D007426	3|2
D017431	3|2
D052138	3|1|2
D016514	3|2
D016515	3|2
D016161	3|2
D016147	3|1|2
D016162	3|1|2
D019940	3|2
D019254	2|3
D018815	3|2
D018773	3|2
D018734	3
D016236	3|2
D016762	3|2
D016758	3|2
D016258	3|2
D020570	3|2
D016259	3|2
D019942	3|2
D016158	3|2
D011905	3|2
D020573	3
D020571	3|2
D016391	3|2
D005833	3|1|2
D005834	3|1|2
D018237	3|2
D031901	3|1|2
D018212	3|1|2
D005870	3|1|2
D005887	3|1
D005901	1
D020327	1
D015812	1
D015355	1
D005902	1
D005909	3
D005910	3|2
D018315	3|2
D018316	3|1|2
D005925	3|1|2
D005918	3|1|2
D043604	3|1
